,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
88,0.6558,0.71199,0.5857926998675479,0.5408050808069124,0.6216,0,0.6903100000000001,213907.0,0.5330247999999997,1,0,0.6185040000000007,0.5939371428571423,2.3596759,first_buy,go_long,go_long,long-exit-profit,go_long
89,0.62563,0.6285400000000001,0.6497766006682751,0.6718585982758248,0.55217,1,0.5849300000000001,169754.0,0.6849288000000001,0,0,0.6282179999999997,0.6422471428571426,2.7729128,first_buy,go_long,go_long,long-exit-profit,go_long
90,0.12932,0.12932,0.1246826554114434,0.1278083820595544,0.07869,1,0.09075,44686.0,0.1291311999999997,0,0,0.1228359999999987,0.1254028571428562,3.86630233,first_buy,go_long,go_long,long-exit-profit,go_long
91,0.06183,0.06201,0.0615989464981964,0.0621000405589459,0.05652,1,0.05652,21755.0,0.0623327999999996,0,0,0.0612079999999973,0.0616599999999988,3.27485671,first_buy,go_long,go_long,long-exit-profit,go_long
92,0.0761,0.07648,0.0696529493759733,0.0676482498966923,0.07352,0,0.07413,45232.0,0.0668171999999996,1,0,0.0718199999999972,0.0701714285714273,3.8474215,first_buy,go_long,go_long,long-exit-profit,go_long
93,0.854,0.918,0.807009780687367,0.7889680344202639,0.85,0,0.902,218494.0,0.7846399999999989,0,0,0.8204000000000254,0.8095714285714448,3.6045416,first_buy,go_long,go_long,long-exit-profit,go_long
94,60.911,64.952,69.86553749106434,72.77761415685428,55.209,1,58.966,189907.0,73.51288000000018,0,0,67.32500000000017,69.40442857142877,1.9710993,first_buy,go_long,go_long,long-exit-profit,go_long
95,1.202,1.22,1.1132124811344069,1.0354983708476868,1.17,1,1.184,180017.0,1.0079999999999991,0,0,1.170400000000026,1.155428571428588,3.9265809,first_buy,go_long,go_long,long-exit-profit,go_long
96,0.228,0.229,0.2298613439004743,0.2316025547627457,0.226,1,0.226,53534.0,0.231320000000001,0,0,0.2288000000000355,0.229142857142871,3.196293,first_buy,go_long,go_long,long-exit-profit,go_long
97,2.77,2.77,2.7269912814010078,2.69877796392563,2.76,0,2.761,2611.0,2.6971600000001983,1,0,2.744199999999972,2.736000000000044,4.4554488,first_buy,go_long,go_long,long-exit-profit,go_long
98,22.07,22.12,19.549050731494464,19.171111833871613,19.99,0,20.69,8988.0,18.97800000000018,1,0,19.965999999999323,19.61285714285688,4.47942302,first_buy,go_long,go_long,long-exit-profit,go_long
99,0.05066,0.05067,0.0517715792577247,0.0522305567891468,0.0499,1,0.05036,7607.0,0.0525611999999998,0,0,0.0513420000000001,0.0516485714285723,4.7860202,first_buy,go_long,go_long,long-exit-profit,go_long
100,0.04142,0.04188,0.0425875736231652,0.0434190029710925,0.04125,1,0.04125,865.0,0.0436851999999998,0,0,0.0420660000000002,0.0423642857142866,4.18420392,first_buy,go_long,go_long,long-exit-profit,go_long
101,0.05495,0.055,0.0519599003502736,0.0501652587369518,0.05211,1,0.05235,12523.0,0.0499779999999999,1,0,0.0532640000000002,0.0527014285714295,4.84022402,first_buy,go_long,go_long,long-exit-profit,go_long
102,0.02338,0.02354,0.0234770751472053,0.0237083795970249,0.02253,1,0.02254,41688.0,0.0237115999999999,0,0,0.0234840000000004,0.0234885714285722,3.9259538,first_buy,go_long,go_long,long-exit-profit,go_long
103,0.00706,0.00706,0.0070288262773866,0.0070833140052152,0.0066,1,0.00664,243978.0,0.0071243999999999,0,0,0.0070040000000003,0.0070342857142865,4.04339193,first_buy,go_long,go_long,long-exit-profit,go_long
104,0.00891,0.00906,0.0083867670557467,0.0081865259398099,0.00884,0,0.00903,72708.0,0.0081607999999999,0,0,0.0085140000000003,0.0084342857142865,3.91718316,first_buy,go_long,go_long,long-exit-profit,go_long
105,0.00728,0.00728,0.0073775766664355,0.0074102511063166,0.0071,1,0.00715,36262.0,0.0073936,0,0,0.0073680000000003,0.0073885714285722,4.69576049,first_buy,go_long,go_long,long-exit-profit,go_long
106,0.004222,0.004255,0.004265426233656,0.0043177383106945,0.0041,1,0.00411,59717.0,0.00434476,0,0,0.0042254000000003,0.0042482857142865,4.2986352,first_buy,go_long,go_long,long-exit-profit,go_long
107,0.004508,0.00452,0.0045656049419054,0.0046304902994501,0.004404,1,0.004412,38646.0,0.00461596,0,0,0.0045278000000003,0.0045667142857151,5.03052403,first_buy,go_long,go_long,long-exit-profit,go_long
108,0.006082,0.006082,0.005513612419057,0.0053764354700718,0.0058,0,0.005875,34357.0,0.00536616,1,0,0.0056706000000003,0.0055168571428579,4.94882129,first_buy,go_long,go_long,long-exit-profit,go_long
109,2.113,2.115,2.151764568061945,2.177534482558175,2.091,1,2.091,2629.0,2.194640000000199,1,0,2.1297999999999746,2.141571428571481,4.0507776,first_buy,go_long,go_long,long-exit-profit,go_long
110,0.007996,0.008708,0.0071726293548267,0.0069007573186075,0.007979,0,0.008615,160820.0,0.00669892,0,0,0.0075086000000003,0.0072857142857151,4.76257964,first_buy,go_long,go_long,long-exit-profit,go_long
111,16.03,16.03,16.237249017537675,16.422476333629536,13.67,1,15.8,163910.0,16.50560000000017,0,0,16.087999999999404,16.154285714285567,5.01653093,first_buy,go_long,go_long,long-exit-profit,go_long
112,512.0,512.0,520.8722213754075,524.5298888453527,502.5,1,507.6,35300.0,526.6,0,0,517.2699999999993,519.7714285714279,1.6656615,first_buy,go_long,go_long,long-exit-profit,go_long
113,675.8,675.8,665.0014467717263,658.0696493344228,671.0,1,674.2,8955.0,655.0459999999999,0,0,669.9799999999998,666.4357142857147,2.1898465,first_buy,go_long,go_long,long-exit-profit,go_long
114,892.95,920.0,882.1008496092479,868.6164538249187,892.95,0,919.25,29044.0,865.9079999999993,0,0,892.0999999999997,884.7071428571437,3.119494,first_buy,go_long,go_long,long-exit-profit,go_long
115,1232.35,1237.55,1158.155062485852,1119.6522953036526,1215.25,0,1225.6,67073.0,1106.4779999999994,0,0,1204.8899999999976,1181.185714285715,4.116345,first_buy,go_long,go_long,long-exit-profit,go_long
116,698.0,727.75,823.4908067081833,886.849864060275,466.7,1,610.75,857416.0,907.2880000000008,0,0,771.7999999999995,796.6785714285764,2.075684,first_buy,go_long,go_long,long-exit-profit,go_long
