,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
415,4.4037,4.4735,4.330486504091012,4.241809302470879,4.3966,0,4.4689,1222387.1,4.267459999999989,0,0,0,1,go_short,-14.45077552
416,3.4109,3.4477,3.409207414464772,3.396496940815965,3.4039,0,3.4364,594434.8,3.401071999999989,1,0,0,1,go_short,7.10218883
417,0.8594,0.8706,0.854218485028199,0.8446733283221098,0.8591000000000001,0,0.8693000000000001,239964.8,0.8438560000000038,0,0,0,1,go_short,29.23418703
418,3.5947,3.6697,3.5334287789667997,3.488153273715401,3.5947,0,3.6518,2529901.5,3.465403999999994,0,0,0,1,go_short,-11.63021103
419,2.482,2.4849,2.4455544918061665,2.388219633303012,2.4378,1,2.4795,1489114.0,2.3731239999999967,0,0,0,1,go_short,-8.88005571
420,2.5807,2.5916,2.5389703586509014,2.497032275561193,2.5403,1,2.5638,656823.4,2.476923999999997,0,0,0,1,go_short,-11.60949598
421,2.1193,2.221,2.0598977054090803,2.1232299473460894,2.0927,0,2.2202,2818245.5,2.086555999999998,0,0,0,1,go_short,22.41763071
422,3.177,3.3202,3.109698471467734,3.035899891943441,3.1731,0,3.3098,2300687.8,3.060855999999997,0,0,0,1,go_short,-19.70037493
423,2.3049,2.3413,2.2889393775955904,2.262139084071046,2.3033,0,2.3404,1209817.4,2.260480000000002,0,0,0,1,go_short,12.66000226
424,2.8563,2.9672,2.8195829199848044,2.7904697892142725,2.8403,0,2.9124,2333716.7,2.796808000000003,0,0,0,1,go_short,-11.67313924
425,2.0587,2.1186,2.0370000235107537,1.998705357209112,2.0569,0,2.08,1728318.7,2.005092000000005,0,0,0,1,go_short,-13.9971668
426,1.6104,1.632,1.5242122088306616,1.499967463283636,1.5856,0,1.6,2242925.2,1.488996000000006,0,0,0,1,go_short,-14.15857452
427,1.362,1.399,1.3583999361756416,1.3410993940961493,1.35,0,1.3973,1363990.6,1.3411760000000037,0,0,0,1,go_short,-22.06849718
